id_colab,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,work_accident,promotion_last_5years,job,salary,left,satisfaction_type,eval_class,hours_class,promo_eval,project_hours
112,0.09,0.85,6.0,289,4,0,False,hr,high,1,Pas satisfait,bon,warning,0.85,295.0
113,0.43,0.52,2.0,160,3,0,False,technical,low,1,Moyen,moyennement bon,acceptable,0.52,162.0
114,0.9,0.96,4.0,258,5,0,False,technical,medium,1,Satisfait,bon,warning,0.96,262.0
115,0.84,1.0,5.0,234,5,0,False,technical,medium,1,Satisfait,bon,warning,1.0,239.0
116,0.37,0.48,2.0,137,3,0,False,technical,medium,1,Moyen,moyennement bon,acceptable,0.48,139.0
121,0.14,0.62,4.0,158,4,1,False,technical,low,1,Pas satisfait,bon,acceptable,0.62,162.0
122,0.4,0.46,2.0,135,3,0,False,technical,low,1,Moyen,moyennement bon,acceptable,0.46,137.0
124,0.11,0.84,6.0,300,5,1,False,support,low,1,Pas satisfait,bon,warning,0.84,306.0
125,0.46,0.49,2.0,138,3,0,False,support,low,1,Moyen,moyennement bon,acceptable,0.49,140.0
126,0.11,0.92,6.0,260,4,0,False,support,low,1,Pas satisfait,bon,warning,0.92,266.0
127,0.38,0.49,2.0,132,3,0,False,support,low,1,Moyen,moyennement bon,acceptable,0.49,134.0
128,0.7,0.89,3.0,183,5,0,False,support,low,1,Satisfait,bon,acceptable,0.89,186.0
129,0.09,0.82,6.0,250,4,0,False,support,low,1,Pas satisfait,bon,warning,0.82,256.0
130,0.37,0.45,2.0,151,3,0,False,support,low,1,Moyen,moyennement bon,acceptable,0.45,153.0
131,0.1,0.83,6.0,292,4,0,False,support,low,1,Pas satisfait,bon,warning,0.83,298.0
132,0.38,0.57,2.0,140,3,0,False,support,low,1,Moyen,moyennement bon,acceptable,0.57,142.0
133,0.9,1.0,5.0,221,5,0,False,support,low,1,Satisfait,bon,warning,1.0,226.0
135,0.36,0.5,2.0,132,3,0,False,technical,low,1,Moyen,moyennement bon,acceptable,0.5,134.0
137,0.1,0.84,6.0,283,4,1,False,technical,low,1,Pas satisfait,bon,warning,0.84,289.0
138,0.42,0.48,2.0,129,3,0,False,management,low,1,Moyen,moyennement bon,acceptable,0.48,131.0
139,0.74,1.0,4.0,249,5,0,False,IT,low,1,Satisfait,bon,warning,1.0,253.0
140,0.73,0.87,5.0,257,5,0,False,IT,low,1,Satisfait,bon,warning,0.87,262.0
141,0.09,0.96,6.0,245,4,0,False,IT,low,1,Pas satisfait,bon,warning,0.96,251.0
143,0.11,0.8,6.0,256,4,0,False,IT,low,1,Pas satisfait,bon,warning,0.8,262.0
144,0.37,0.47,2.0,152,3,0,False,product_mng,low,1,Moyen,moyennement bon,acceptable,0.47,154.0
148,0.11,0.87,6.0,306,4,0,False,IT,low,1,Pas satisfait,bon,warning,0.87,312.0
149,0.84,0.88,4.0,263,5,1,False,marketing,low,1,Satisfait,bon,warning,0.88,267.0
150,0.39,0.5,2.0,147,3,0,False,marketing,low,1,Moyen,moyennement bon,acceptable,0.5,149.0
151,0.11,0.91,6.0,278,4,0,False,marketing,low,1,Pas satisfait,bon,warning,0.91,284.0
152,0.45,0.56,2.0,154,3,0,False,marketing,low,1,Moyen,moyennement bon,acceptable,0.56,156.0
153,0.37,0.52,2.0,143,3,0,False,marketing,low,1,Moyen,moyennement bon,acceptable,0.52,145.0
154,0.4,0.52,2.0,155,3,0,False,marketing,low,1,Moyen,moyennement bon,acceptable,0.52,157.0
157,0.83,1.0,5.0,240,5,0,False,support,low,1,Satisfait,bon,warning,1.0,245.0
158,0.11,0.92,6.0,305,4,0,False,technical,low,1,Pas satisfait,bon,warning,0.92,311.0
159,0.39,0.5,2.0,136,3,0,False,management,low,1,Moyen,moyennement bon,acceptable,0.5,138.0
160,0.45,0.45,2.0,132,3,0,False,marketing,low,1,Moyen,moyennement bon,acceptable,0.45,134.0
161,0.1,0.95,7.0,301,4,0,False,marketing,low,1,Pas satisfait,bon,warning,0.95,308.0
162,0.9,0.98,5.0,243,6,0,False,marketing,low,1,Satisfait,bon,warning,0.98,248.0
163,0.45,0.51,2.0,147,3,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.51,149.0
164,0.79,0.89,5.0,239,5,0,False,sales,low,1,Satisfait,bon,warning,0.89,244.0
165,0.9,0.99,5.0,260,5,0,False,sales,low,1,Satisfait,bon,warning,0.99,265.0
167,0.43,0.55,2.0,129,3,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.55,131.0
168,0.31,0.54,5.0,132,5,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.54,137.0
169,0.32,0.5,2.0,135,5,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.5,137.0
170,0.45,0.57,2.0,158,3,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.57,160.0
173,0.11,0.78,7.0,278,4,0,False,sales,low,1,Pas satisfait,bon,warning,0.78,285.0
174,0.1,0.88,6.0,284,4,0,False,sales,low,1,Pas satisfait,bon,warning,0.88,290.0
178,0.38,0.5,2.0,140,3,0,False,sales,medium,1,Moyen,moyennement bon,acceptable,0.5,142.0
181,0.4,0.47,2.0,146,3,0,False,sales,medium,1,Moyen,moyennement bon,acceptable,0.47,148.0
182,0.1,0.84,6.0,261,4,0,False,accounting,medium,1,Pas satisfait,bon,warning,0.84,267.0
183,0.89,0.99,5.0,257,5,0,False,accounting,medium,1,Satisfait,bon,warning,0.99,262.0
185,0.36,0.55,2.0,141,3,0,False,hr,medium,1,Moyen,moyennement bon,acceptable,0.55,143.0
186,0.4,0.46,2.0,127,3,0,False,hr,medium,1,Moyen,moyennement bon,acceptable,0.46,129.0
188,0.4,0.46,2.0,143,3,0,False,hr,medium,1,Moyen,moyennement bon,acceptable,0.46,145.0
190,0.44,0.51,2.0,156,3,0,False,technical,high,1,Moyen,moyennement bon,acceptable,0.51,158.0
192,0.92,0.87,4.0,226,6,1,False,technical,medium,1,Satisfait,bon,warning,0.87,230.0
194,0.09,0.82,6.0,249,4,0,False,technical,medium,1,Pas satisfait,bon,warning,0.82,255.0
196,0.09,0.8,6.0,304,4,0,False,technical,low,1,Pas satisfait,bon,warning,0.8,310.0
197,0.27,0.54,7.0,278,3,0,False,technical,low,1,Pas satisfait,moyennement bon,warning,0.54,285.0
199,0.1,0.89,7.0,285,4,0,False,technical,low,1,Pas satisfait,bon,warning,0.89,292.0
200,0.77,0.94,5.0,226,6,0,False,support,low,1,Satisfait,bon,warning,0.94,231.0
201,0.9,0.82,5.0,259,5,0,False,support,low,1,Satisfait,bon,warning,0.82,264.0
202,0.39,0.5,2.0,135,3,0,False,support,low,1,Moyen,moyennement bon,acceptable,0.5,137.0
203,0.76,1.0,5.0,219,5,0,False,support,low,1,Satisfait,bon,warning,1.0,224.0
206,0.38,0.5,2.0,153,3,0,False,support,low,1,Moyen,moyennement bon,acceptable,0.5,155.0
208,0.78,0.87,4.0,228,5,0,False,support,low,1,Satisfait,bon,warning,0.87,232.0
210,0.38,0.52,2.0,153,3,0,False,support,low,1,Moyen,moyennement bon,acceptable,0.52,155.0
213,0.88,1.0,5.0,219,5,0,False,technical,low,1,Satisfait,bon,warning,1.0,224.0
214,0.45,0.46,2.0,153,3,0,False,management,low,1,Moyen,moyennement bon,acceptable,0.46,155.0
215,0.4,0.53,2.0,151,3,0,False,IT,low,1,Moyen,moyennement bon,acceptable,0.53,153.0
216,0.36,0.51,2.0,155,3,0,False,IT,low,1,Moyen,moyennement bon,acceptable,0.51,157.0
217,0.36,0.48,2.0,158,3,0,False,IT,low,1,Moyen,moyennement bon,acceptable,0.48,160.0
218,0.9,0.98,5.0,245,5,0,False,IT,low,1,Satisfait,bon,warning,0.98,250.0
219,0.43,0.53,2.0,131,3,0,False,IT,low,1,Moyen,moyennement bon,acceptable,0.53,133.0
220,0.89,0.87,5.0,225,5,0,False,product_mng,low,1,Satisfait,bon,warning,0.87,230.0
221,0.1,0.84,6.0,286,4,0,False,product_mng,low,1,Pas satisfait,bon,warning,0.84,292.0
222,0.37,0.5,2.0,135,3,0,False,product_mng,low,1,Moyen,moyennement bon,acceptable,0.5,137.0
224,0.87,0.9,5.0,252,5,0,False,IT,low,1,Satisfait,bon,warning,0.9,257.0
225,0.4,0.56,2.0,149,3,0,False,accounting,low,1,Moyen,moyennement bon,acceptable,0.56,151.0
226,0.9,0.97,4.0,258,5,0,False,accounting,low,1,Satisfait,bon,warning,0.97,262.0
228,0.44,0.54,2.0,149,3,0,False,hr,low,1,Moyen,moyennement bon,acceptable,0.54,151.0
229,0.85,0.95,5.0,236,5,0,False,hr,low,1,Satisfait,bon,warning,0.95,241.0
231,0.42,0.47,2.0,159,3,0,False,marketing,low,1,Moyen,moyennement bon,acceptable,0.47,161.0
233,0.11,0.83,6.0,244,4,0,False,accounting,low,1,Pas satisfait,bon,warning,0.83,250.0
234,0.42,0.56,2.0,134,3,0,False,support,low,1,Moyen,moyennement bon,acceptable,0.56,136.0
235,0.48,0.57,4.0,270,4,0,False,technical,low,1,Moyen,moyennement bon,warning,0.57,274.0
237,0.4,0.53,2.0,151,3,0,False,marketing,low,1,Moyen,moyennement bon,acceptable,0.53,153.0
238,0.43,0.45,2.0,135,3,0,False,marketing,low,1,Moyen,moyennement bon,acceptable,0.45,137.0
239,0.43,0.53,2.0,146,3,0,False,marketing,low,1,Moyen,moyennement bon,acceptable,0.53,148.0
240,0.1,0.97,7.0,254,4,0,False,sales,low,1,Pas satisfait,bon,warning,0.97,261.0
241,0.1,0.87,7.0,289,4,0,False,sales,low,1,Pas satisfait,bon,warning,0.87,296.0
242,0.37,0.46,2.0,156,3,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.46,158.0
243,0.38,0.53,2.0,156,3,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.53,158.0
244,0.4,0.5,2.0,128,3,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.5,130.0
245,0.89,0.86,5.0,275,5,0,False,sales,low,1,Satisfait,bon,warning,0.86,280.0
247,0.37,0.48,2.0,159,3,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.48,161.0
248,0.46,0.49,2.0,148,3,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.49,150.0
249,0.87,0.91,4.0,228,5,0,False,sales,low,1,Satisfait,bon,warning,0.91,232.0
250,0.11,0.84,6.0,298,4,0,False,sales,low,1,Pas satisfait,bon,warning,0.84,304.0
251,0.79,0.87,5.0,261,5,0,False,sales,low,1,Satisfait,bon,warning,0.87,266.0
252,0.79,0.92,5.0,254,6,0,False,sales,low,1,Satisfait,bon,warning,0.92,259.0
253,0.19,0.59,7.0,192,3,0,False,sales,low,1,Pas satisfait,moyennement bon,acceptable,0.59,199.0
257,0.11,0.81,6.0,266,4,1,False,sales,medium,1,Pas satisfait,bon,warning,0.81,272.0
258,0.42,0.54,2.0,156,3,0,False,sales,medium,1,Moyen,moyennement bon,acceptable,0.54,158.0
259,0.88,0.88,5.0,232,5,1,False,accounting,medium,1,Satisfait,bon,warning,0.88,237.0
260,0.11,0.84,6.0,287,4,0,False,accounting,medium,1,Pas satisfait,bon,warning,0.84,293.0
261,0.46,0.46,2.0,154,3,0,False,accounting,medium,1,Moyen,moyennement bon,acceptable,0.46,156.0
262,0.82,0.97,5.0,263,5,0,False,hr,medium,1,Satisfait,bon,warning,0.97,268.0
263,0.44,0.56,2.0,131,3,0,False,hr,medium,1,Moyen,moyennement bon,acceptable,0.56,133.0
264,0.11,0.78,6.0,260,4,0,False,hr,medium,1,Pas satisfait,bon,warning,0.78,266.0
266,0.84,0.93,4.0,251,5,0,False,technical,medium,1,Satisfait,bon,warning,0.93,255.0
268,0.45,0.53,2.0,129,3,0,False,technical,high,1,Moyen,moyennement bon,acceptable,0.53,131.0
269,0.38,0.56,2.0,156,3,0,False,technical,low,1,Moyen,moyennement bon,acceptable,0.56,158.0
270,0.38,0.86,6.0,139,6,0,False,technical,medium,1,Moyen,bon,acceptable,0.86,145.0
271,0.44,0.51,2.0,127,3,0,False,technical,medium,1,Moyen,moyennement bon,acceptable,0.51,129.0
273,0.81,0.93,5.0,270,5,0,False,technical,medium,1,Satisfait,bon,warning,0.93,275.0
275,0.11,0.9,6.0,254,4,0,False,technical,low,1,Pas satisfait,bon,warning,0.9,260.0
276,0.81,0.95,5.0,238,6,0,False,technical,low,1,Satisfait,bon,warning,0.95,243.0
277,0.1,0.97,6.0,267,4,1,False,support,low,1,Pas satisfait,bon,warning,0.97,273.0
280,0.82,0.81,4.0,233,4,1,False,support,low,1,Satisfait,bon,warning,0.81,237.0
281,0.1,0.98,6.0,268,4,0,False,support,low,1,Pas satisfait,bon,warning,0.98,274.0
282,0.27,0.56,3.0,301,3,0,False,support,low,1,Pas satisfait,moyennement bon,warning,0.56,304.0
283,0.83,0.92,5.0,267,6,0,False,support,low,1,Satisfait,bon,warning,0.92,272.0
284,0.1,0.93,6.0,289,4,1,False,support,low,1,Pas satisfait,bon,warning,0.93,295.0
287,0.11,0.83,6.0,306,4,0,False,support,low,1,Pas satisfait,bon,warning,0.83,312.0
288,0.11,0.79,6.0,292,4,0,True,technical,low,1,Pas satisfait,bon,warning,1.79,298.0
289,0.82,0.91,5.0,232,5,0,False,technical,low,1,Satisfait,bon,warning,0.91,237.0
290,0.36,0.48,2.0,137,3,0,False,technical,low,1,Moyen,moyennement bon,acceptable,0.48,139.0
291,0.4,0.46,2.0,128,3,0,False,management,low,1,Moyen,moyennement bon,acceptable,0.46,130.0
294,0.11,0.91,6.0,308,4,1,False,IT,low,1,Pas satisfait,bon,warning,0.91,314.0
296,0.38,0.51,2.0,146,3,0,False,IT,medium,1,Moyen,moyennement bon,acceptable,0.51,148.0
300,0.74,0.84,5.0,249,5,0,False,product_mng,medium,1,Satisfait,bon,warning,0.84,254.0
304,0.37,0.55,2.0,127,3,0,False,RandD,medium,1,Moyen,moyennement bon,acceptable,0.55,129.0
305,0.89,0.87,5.0,255,5,0,False,RandD,medium,1,Satisfait,bon,warning,0.87,260.0
306,0.45,0.47,2.0,135,3,0,False,RandD,medium,1,Moyen,moyennement bon,acceptable,0.47,137.0
308,0.11,0.81,5.0,287,4,0,False,sales,low,1,Pas satisfait,bon,warning,0.81,292.0
309,0.41,0.48,2.0,145,3,0,False,accounting,medium,1,Moyen,moyennement bon,acceptable,0.48,147.0
310,0.1,0.94,6.0,285,4,0,False,support,medium,1,Pas satisfait,bon,warning,0.94,291.0
311,0.1,0.93,7.0,305,4,0,False,technical,medium,1,Pas satisfait,bon,warning,0.93,312.0
313,0.4,0.54,2.0,139,3,0,False,marketing,low,1,Moyen,moyennement bon,acceptable,0.54,141.0
314,0.41,0.49,2.0,130,3,0,False,marketing,low,1,Moyen,moyennement bon,acceptable,0.49,132.0
315,0.1,0.81,6.0,268,4,0,False,marketing,low,1,Pas satisfait,bon,warning,0.81,274.0
316,0.73,0.86,4.0,245,6,0,False,sales,low,1,Satisfait,bon,warning,0.86,249.0
319,0.11,0.94,6.0,276,4,0,False,sales,low,1,Pas satisfait,bon,warning,0.94,282.0
320,0.4,0.46,2.0,130,3,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.46,132.0
322,0.82,0.84,5.0,244,5,0,False,sales,low,1,Satisfait,bon,warning,0.84,249.0
323,0.61,0.47,2.0,253,3,0,False,sales,low,1,Satisfait,moyennement bon,warning,0.47,255.0
324,0.11,0.91,7.0,287,4,0,False,sales,low,1,Pas satisfait,bon,warning,0.91,294.0
325,0.37,0.45,2.0,131,3,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.45,133.0
326,0.41,0.52,2.0,135,3,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.52,137.0
327,0.37,0.52,2.0,157,3,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.52,159.0
329,0.1,0.85,6.0,266,4,0,False,sales,low,1,Pas satisfait,bon,warning,0.85,272.0
330,0.44,0.48,2.0,148,3,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.48,150.0
332,0.11,0.85,7.0,302,4,0,False,sales,low,1,Pas satisfait,bon,warning,0.85,309.0
333,0.09,0.98,6.0,271,4,0,False,sales,low,1,Pas satisfait,bon,warning,0.98,277.0
334,0.45,0.52,2.0,145,3,0,False,sales,medium,1,Moyen,moyennement bon,acceptable,0.52,147.0
335,0.1,0.81,6.0,290,4,0,False,accounting,medium,1,Pas satisfait,bon,warning,0.81,296.0
337,0.77,0.87,5.0,266,5,0,False,accounting,medium,1,Satisfait,bon,warning,0.87,271.0
338,0.44,0.51,2.0,140,3,0,False,hr,medium,1,Moyen,moyennement bon,acceptable,0.51,142.0
339,0.39,0.5,2.0,142,3,0,False,hr,medium,1,Moyen,moyennement bon,acceptable,0.5,144.0
340,0.1,0.91,6.0,246,4,0,False,hr,medium,1,Pas satisfait,bon,warning,0.91,252.0
342,0.37,0.47,2.0,141,3,0,False,technical,medium,1,Moyen,moyennement bon,acceptable,0.47,143.0
343,0.9,1.0,5.0,232,5,0,False,technical,medium,1,Satisfait,bon,warning,1.0,237.0
347,0.81,1.0,4.0,253,5,0,False,technical,low,1,Satisfait,bon,warning,1.0,257.0
349,0.11,0.84,7.0,264,4,0,False,technical,medium,1,Pas satisfait,bon,warning,0.84,271.0
352,0.48,0.93,3.0,219,6,0,False,technical,low,1,Moyen,bon,warning,0.93,222.0
353,0.91,0.91,4.0,262,6,0,False,support,low,1,Satisfait,bon,warning,0.91,266.0
355,0.33,0.88,6.0,219,5,0,False,support,low,1,Moyen,bon,warning,0.88,225.0
358,0.37,0.54,2.0,149,3,0,False,support,low,1,Moyen,moyennement bon,acceptable,0.54,151.0
359,0.31,0.62,6.0,135,5,0,False,support,low,1,Moyen,bon,acceptable,0.62,141.0
361,0.1,0.87,6.0,290,4,0,False,support,low,1,Pas satisfait,bon,warning,0.87,296.0
362,0.76,0.9,4.0,263,5,0,False,support,low,1,Satisfait,bon,warning,0.9,267.0
363,0.41,0.54,2.0,145,3,0,False,support,low,1,Moyen,moyennement bon,acceptable,0.54,147.0
364,0.72,0.96,5.0,267,5,0,False,technical,low,1,Satisfait,bon,warning,0.96,272.0
365,0.4,0.5,2.0,141,3,1,False,technical,low,1,Moyen,moyennement bon,acceptable,0.5,143.0
369,0.82,0.86,5.0,243,5,0,False,IT,low,1,Satisfait,bon,warning,0.86,248.0
370,0.1,0.82,6.0,266,4,0,False,IT,low,1,Pas satisfait,bon,warning,0.82,272.0
371,0.37,0.45,2.0,142,3,0,False,IT,low,1,Moyen,moyennement bon,acceptable,0.45,144.0
373,0.39,0.48,2.0,141,3,0,False,product_mng,medium,1,Moyen,moyennement bon,acceptable,0.48,143.0
375,0.86,0.84,5.0,254,5,0,False,product_mng,medium,1,Satisfait,bon,warning,0.84,259.0
376,0.73,0.99,5.0,262,5,0,False,product_mng,medium,1,Satisfait,bon,warning,0.99,267.0
377,0.56,0.71,4.0,296,2,0,False,IT,medium,1,Moyen,bon,warning,0.71,300.0
378,0.44,0.56,2.0,158,3,0,False,accounting,medium,1,Moyen,moyennement bon,acceptable,0.56,160.0
379,0.31,0.56,4.0,238,2,0,False,accounting,medium,1,Moyen,moyennement bon,warning,0.56,242.0
381,0.44,0.45,2.0,156,3,0,False,hr,medium,1,Moyen,moyennement bon,acceptable,0.45,158.0
383,0.45,0.48,2.0,144,3,0,False,marketing,medium,1,Moyen,moyennement bon,acceptable,0.48,146.0
384,0.38,0.51,2.0,159,3,0,False,sales,medium,1,Moyen,moyennement bon,acceptable,0.51,161.0
386,0.75,0.9,5.0,256,5,0,False,support,low,1,Satisfait,bon,warning,0.9,261.0
388,0.1,0.97,6.0,247,4,0,False,management,medium,1,Pas satisfait,bon,warning,0.97,253.0
389,0.45,0.5,2.0,157,3,0,False,marketing,medium,1,Moyen,moyennement bon,acceptable,0.5,159.0
